artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.poly.2012.01.015	New oxidovanadium(V) complexes of the cation [VO]3+: Synthesis, structural characterization and DFT studies	Polyhedron	Back, Davi Fernando ; Kopp, Cristiéli Rossini ; Manzoni de Oliveira, Gelson ; Piquini, Paulo Cesar	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.poly.2012.03.030	Synthesis, structural and optical studies of several new ditelluroether iodides	Polyhedron	Cargnelutti, Roberta ; Schulz Lang, Ernesto ; Manzoni de Oliveira, Gelson ; Piquini, Paulo Cesar	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1063/1.3692440	Electronic and structural properties of InAs/InP core/shell nanowires: A first principles study	Journal of Applied Physics	dos Santos, Cla udia L. ; Piquini, Paulo	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1021/jp303167b	Adsorption of NO on the Rh , Pd , Ir , and Pt Clusters: A Density Functional Theory Investigation	Journal of Physical Chemistry. C. (Online)	Piotrowski, Maurício J. ; Piquini, Paulo ; Zeng, Zhenhua ; Da Silva, Juarez L. F.	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1021/jp302844f	Platinum-Based Nanoalloys Pt n TM 55 n (TM = Co, Rh, Au): A Density Functional Theory Investigation	Journal of Physical Chemistry. C. (Online)	Piotrowski, Maurício Jeomar ; Piquini, Paulo Cesar ; Da Silva, Juarez	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.jorganchem.2011.11.036	Building Hg(II)/Cu(I) multinuclear compounds from mercury bis(phenylselenolate)	Journal of Organometallic Chemistry (Print)	Stieler, Rafael ; Burrow, Robert A. ; Piquini, Paulo ; Lang, Ernesto S.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.cplett.2011.10.058	The effects of an explicit water environment on the interaction of a single wall carbon nanotube with amino acids: a theoretical study	Chemical Physics Letters (Print)	ANVERSA, J. ; PIQUINI, P.	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1088/0957-4484/22/26/265203	On the p-type character of Cd and Zn doped InAs nanowires	Nanotechnology (Bristol. Print)	dos Santos CL ; SCHMIDT, T. M. ; Piquini, Paulo	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1088/0957-4484/22/20/205706	The influence of the stacking orientation of C and BN stripes in the structure, energetics, and electronic properties of BC N nanotubes	Nanotechnology (Bristol. Print)	Machado, M ; Kar, T ; Piquini, P	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1063/1.3577999	Transition-metal 13-atom clusters assessed with solid and surface-biased functionals	The Journal of Chemical Physics	Piotrowski, Mauri?cio J. ; Piquini, Paulo ; Odashima, Mariana M. ; Da Silva, Juarez L. F.	B2	
