artigoEmPeriodico	2014		Chromatographic analysis and antioxidant capacity of Tabernaemontana catharinensis.	Natural Product Communications	BOLIGON, A. A. ; PIANA, M. ; Schwanz, T. G. ; PEREIRA, R. P. ; ROCHA, J. B. T. ; ATHAYDE, M. L. ; ATHAYDE, M. L.	B4	
artigoEmPeriodico	2014	http://dx.doi.org/10.1016/j.nut.2013.10.005	Brazilian nut consumption by healthy volunteers improves inflammatory parameters	Nutrition (Burbank, Los Angeles County, Calif.)	Colpo, Elisângela ; DALTON D.A. VILANOVA, CARLOS ; REETZ, LUIZ GUSTAVO B. ; DUARTE, MARTA M.M.F. ; FARIAS, IRIA LUIZA G. ; MEINERZ, DAIANE F. ; MARIANO, DOUGLAS O.C. ; VENDRUSCULO, RAQUEL G. ; BOLIGON, ALINE A. ; Dalla Corte, Cristiane L. ; WAGNER, ROGER ; ATHAYDE, MARGARETH L. ; DA ROCHA, JOÃO BATISTA T.	C	
artigoEmPeriodico	2014	http://dx.doi.org/10.1016/j.cbi.2013.10.017	Addition of butoxycarbonyl group to phenylalanine derived chalcogenide increases the toxic potential: Importance of non-bonding nitrogen interaction	Chemico-Biological Interactions (Print)	HASSAN, WASEEM ; SCHIAR, VIVIANE PATRÍCIA P. ; dos Santos, Danúbia B. ; DUARTE, MARTA M.M.F. ; VARGAS, FABRÍCIO ; NOGUEIRA, Cristina W. ; ZENI, Gilson ; BRAGA, ANTONIO.L. ; DA ROCHA, JOÃO B.T.	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2014	http://dx.doi.org/10.1016/j.tiv.2013.12.010	1-(2-(2-(2-(1-aminoethyl) phenyl)diselanyl)phenyl)ethanamine: An amino Organoselenium compound with interesting antioxidant profile	Toxicology in Vitro	Ibrahim, Mohammad ; HASSAN, WASEEM ; Anwar, Javed ; Deobald, Anna Maria ; KAMDEM, JEAN PAUL ; DO, SOUZA ; Rocha, Joao Batista Teixeira	B2	
artigoEmPeriodico	2014	http://dx.doi.org/10.1016/j.indcrop.2013.12.007	Chemical composition, antioxidant and anticholinesterase activity of Melissa officinalis	Industrial Crops and Products (Print)	Pereira, Romaiana Picada ; ATHAYDE, M. L. ; BOLIGON, Aline Augusti ; Apel, A. S. ; FACHINETTO, R. ; CERON, C. S. ; TANUS-SANTOS, J. E. ; ATHAYDE, M.L. ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2014	http://dx.doi.org/10.1007/s11010-013-1919-9	Effects of chlorogenic acid, caffeine, and coffee on behavioral and biochemical parameters of diabetic rats	Molecular and Cellular Biochemistry	STEFANELLO, NAIARA ; Schmatz, Roberta ; PEREIRA, LUCIANE BELMONTE ; RUBIN, MARIBEL A. ; Rocha, João Batista Teixeira ; FACCO, GRAZIELA ; Pereira, Maria Ester ; MAZZANTI, CINTHIA MELAZZO DE ANDRADE ; PASSAMONTI, SABINA ; RODRIGUES, MARÍLIA VALVASSORI ; CARVALHO, FABIANO BARBOSA ; ROSA, MICHELLE MELGAREJO ; GUTIERRES, JESSIE MARTINS ; CARDOSO, ANDRÉIA MACHADO ; MORSCH, Vera Maria ; SCHETINGER, MARIA ROSA CHITOLINA	B3	
artigoEmPeriodico	2013		Phenolic composition and in vitro activity of the Brazilian fruit tree Caryocar coriaceum Wittm.	EUR J INTEGR MED	ARARUNA, M. K. ; SANTOS, K. K. A. ; Costa, José Galberto Martins ; COUTINHO, H. D. M. ; Melo Coutinho, H.D. ; BOLIGON, A. A. ; STEFANELLO, S. T. ; ATHAYDE, M. L. ; SARAIVA, R. A. ; ROCHA, J. B. T. ; KERNTOPF, M.R. ; Menezes, Irwin A.	B2	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.cbi.2013.05.008	Diphenyl diselenide supplementation reduces biochemical alterations associated with oxidative stress in rats fed with fructose and hydrochlorothiazide	Chemico-Biological Interactions (Print)	BEM, A.F. ; RIBEIRO, MARINEI CRISTINA PEREIRA ; ÁVILA, DAIANA SILVA ; SCHIAR, VIVIANE PATRÍCIA PIRES ; SANTOS, DANÚBIA BONFANTI DOS ; MEINERZ, DAINE F. ; DUARTE, MARTA MEDEIROS FRESCURA ; MONTEIRO, ROGER ; PUNTEL, ROBSON ; DE BEM, ANDREZA FABIO ; HASSAN, WASEEM ; DE VARGAS BARBOSA, NILDA BERENICE ; ROCHA, J. B. T.	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.niox.2013.03.003	Protective effect of diphenyl diselenide against peroxynitrite-mediated endothelial cell death: A comparison with ebselen	Nitric Oxide (Print)	Bem, Andreza Fabro de ; FIUZA, BIANCA ; CALCERRADA, PABLO ; BRITO, PAULA M. ; PELUFFO, GONZALO ; DINIS, TERESA C.P. ; TRUJILLO, MADIA ; Rocha, João B.T. ; RADI, RAFAEL ; ALMEIDA, LEONOR M.	B2	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.fra.2013.05.007	Phytochemical constituents and invitro antioxidant capacity of Tabernaemontana catharinensis A	DC. Free Radicals and Antioxidants	Boligon, Aline Augusti ; DE FREITAS, ROBSON BORBA ; DE BRUM, THIELE FACCIM ; PIANA, MARIANA ; BELKE, BIANCA VARGAS ; DA ROCHA, JOÃO BATISTA TEIXEIRA ; Athayde, Margareth Linde	C	Free Radicals and Antioxidants
artigoEmPeriodico	2013	http://dx.doi.org/10.1155/2013/537279	Cytotoxicity and Genotoxicity Evaluation of Organochalcogens in Human Leucocytes: A Comparative Study between Ebselen, Diphenyl Diselenide, and Diphenyl Ditelluride	BioMed Research International	CAERAN BUENO, DIONES ; Meinerz, Daiane Francine ; Allebrandt, Josiane ; WACZUK, EMILY PANSERA ; Dos Santos, Danúbia Bonfanti ; MARIANO, DOUGLAS OSCAR CEOLIN ; Rocha, João Batista Teixeira	B2	Food Research International
artigoEmPeriodico	2013	http://dx.doi.org/10.1155/2013/653185	A Single Consumption of High Amounts of the Brazil Nuts Improves Lipid Profile of Healthy Volunteers	Journal of Nutrition and Metabolism	Colpo, Elisângela ; VILANOVA, CARLOS DALTON DE AVILA ; BRENNER REETZ, LUIZ GUSTAVO ; MEDEIROS FRESCURA DUARTE, MARTA MARIA ; FARIAS, IRIA LUIZA GOMES ; IRINEU MULLER, EDSON ; MULLER, ALINE LIMA HERMES ; MORAES FLORES, ERICO MARLON ; WAGNER, ROGER ; DA ROCHA, JOÃO BATISTA TEIXEIRA	C	
artigoEmPeriodico	2013	http://dx.doi.org/10.1139/apnm-2012-0230	Antioxidant effect of organic purple grape juice on exhaustive exercise	Applied Physiology, Nutrition and Metabolism (Print)	DALLA CORTE, C. L. ; DALLA CORTE, CRISTIANE L. ; DE CARVALHO, NÉLSON R. ; AMARAL, GUILHERME P. ; PUNTEL, GUSTAVO O. ; SILVA, LUIZ FERNANDO A. ; RETAMOSO, LEANDRO T. ; ROYES, LUIZ FERNANDO F. ; BRESCIANI, GUILHERME B. ; DA CRUZ, IVANA B.M. ; ROCHA, J. B. T. ; BARRIO LERA, JUAN PABLO ; SOARES, FÉLIX A.A.	C	
